fname,sonyc_file,librispeech_file,script,label1_sonyc,label1_audioset,label2_sonyc,label2_audioset
1320-122612-0003__01_007891.wav,01_007891.wav,1320-122612-0003.flac,HE OFTEN STOPPED TO EXAMINE THE TREES NOR DID HE CROSS A RIVULET WITHOUT ATTENTIVELY CONSIDERING THE QUANTITY THE VELOCITY AND THE COLOR OF ITS WATERS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
5683-32866-0024__01_009870.wav,01_009870.wav,5683-32866-0024.flac,I SHAN'T TROUBLE YOU ABOUT MY TRAIN OF THOUGHTS OR FANCIES BUT I BEGAN TO FEEL VERY LIKE A GENTLEMAN IN A GHOST STORY WATCHING EXPERIMENTALLY IN A HAUNTED CHAMBER,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
1284-1180-0021__01_008900.wav,01_008900.wav,1284-1180-0021.flac,I THINK THE NEXT GLASS CAT THE MAGICIAN MAKES WILL HAVE NEITHER BRAINS NOR HEART FOR THEN IT WILL NOT OBJECT TO CATCHING MICE AND MAY PROVE OF SOME USE TO US,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
6829-68771-0010__01_011797.wav,01_011797.wav,6829-68771-0010.flac,THE FAIRVIEW BAND WAS ENGAGED TO DISCOURSE AS MUCH HARMONY AS IT COULD PRODUCE AND THE RESOURCES OF THE GREAT HOUSE WERE TAXED TO ENTERTAIN THE GUESTS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
5639-40744-0020__01_003317.wav,01_003317.wav,5639-40744-0020.flac,THUS DID THIS HUMANE AND RIGHT MINDED FATHER COMFORT HIS UNHAPPY DAUGHTER AND HER MOTHER EMBRACING HER AGAIN DID ALL SHE COULD TO SOOTHE HER FEELINGS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
8224-274384-0002__31_012996.wav,31_012996.wav,8224-274384-0002.flac,THEY INFORMED THE ENGLISH PARLIAMENT OF THIS UNEXPECTED INCIDENT AND ASSURED THEM THAT THEY HAD ENTERED INTO NO PRIVATE TREATY WITH THE KING,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
121-121726-0010__31_009970.wav,31_009970.wav,121-121726-0010.flac,HOUSECLEANING A DOMESTIC UPHEAVAL THAT MAKES IT EASY FOR THE GOVERNMENT TO ENLIST ALL THE SOLDIERS IT NEEDS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
908-157963-0020__01_009487.wav,01_009487.wav,908-157963-0020.flac,TILL WE ARISE LINK'D IN A GOLDEN BAND AND NEVER PART BUT WALK UNITED BEARING FOOD TO ALL OUR TENDER FLOWERS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
4992-41797-0013__01_003597.wav,01_003597.wav,4992-41797-0013.flac,SHE MAKES EFFORT AFTER EFFORT TREMBLING WITH EAGERNESS AND WHEN SHE FAILS TO REPRODUCE WHAT SHE SEES SHE WORKS HERSELF INTO A FRENZY OF GRIEF AND DISAPPOINTMENT,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
4970-29095-0027__01_002363.wav,01_002363.wav,4970-29095-0027.flac,IT'S SUCH A CRUSH AT THE YEARLY MEETING AT ARCH STREET AND THEN THERE'S THE ROW OF SLEEK LOOKING YOUNG MEN WHO LINE THE CURBSTONE AND STARE AT US AS WE COME OUT,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
5142-33396-0032__01_012314.wav,01_012314.wav,5142-33396-0032.flac,THE FARMER SAT GLOOMILY ON THE BENCH AND WOULD NOT EAT AND YOU CANNOT WONDER FOR HE SAW US PUTTING POTFULS OF HIS GOOD BEEF AND BASKET LOADS OF BREAD INTO OUR BIG MOUTHS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
1320-122617-0011__01_008826.wav,01_008826.wav,1320-122617-0011.flac,THE LODGE IN WHICH UNCAS WAS CONFINED WAS IN THE VERY CENTER OF THE VILLAGE AND IN A SITUATION PERHAPS MORE DIFFICULT THAN ANY OTHER TO APPROACH OR LEAVE WITHOUT OBSERVATION,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
3570-5695-0007__31_010807.wav,31_010807.wav,3570-5695-0007.flac,THERE IS NO CLASS AND NO COUNTRY THAT HAS YIELDED SO ABJECTLY BEFORE THE PRESSURE OF PHYSICAL WANT AS TO DENY THEMSELVES ALL GRATIFICATION OF THIS HIGHER OR SPIRITUAL NEED,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
4077-13751-0002__01_009936.wav,01_009936.wav,4077-13751-0002.flac,INSTEAD OF BUT SIX REGULARLY AFFILIATED MEMBERS AND AT MOST TWO SCORE OF ADHERENTS THE ORGANIZATION NUMBERS TODAY MANY HUNDRED THOUSAND SOULS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
2961-961-0017__01_008145.wav,01_008145.wav,2961-961-0017.flac,OBSERVE AGAIN WHAT CARE THE LAW TOOK IN THE PURSUIT OF WISDOM SEARCHING OUT THE DEEP THINGS OF THE WORLD AND APPLYING THEM TO THE USE OF MAN,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
3575-170457-0044__01_013006.wav,01_013006.wav,3575-170457-0044.flac,AFTER THIS DISAPPOINTMENT I NEVER DARE RECKON WITH CERTAINTY ON THE ENJOYMENT OF A PLEASURE AGAIN IT SEEMS AS IF SOME FATALITY STOOD BETWEEN YOU AND ME,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
4970-29093-0018__31_004472.wav,31_004472.wav,4970-29093-0018.flac,THE TWO YOUNG MEN WHO WERE BY THIS TIME FULL OF THE ADVENTURE WENT DOWN TO THE WALL STREET OFFICE OF HENRY'S UNCLE AND HAD A TALK WITH THAT WILY OPERATOR,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
672-122797-0023__01_007721.wav,01_007721.wav,672-122797-0023.flac,HE WELL KNEW THAT HE SHOULD NEVER SEE HIS DEAR OLD COMRADES THE LITTLE BUSHES AND FLOWERS AROUND HIM ANYMORE PERHAPS NOT EVEN THE BIRDS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
1320-122617-0018__31_003192.wav,31_003192.wav,1320-122617-0018.flac,IT WAS SILENT AND GLOOMY BEING TENANTED SOLELY BY THE CAPTIVE AND LIGHTED BY THE DYING EMBERS OF A FIRE WHICH HAD BEEN USED FOR THE PURPOSED OF COOKERY,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
7127-75946-0027__01_002675.wav,01_002675.wav,7127-75946-0027.flac,DISDAINFUL OF A SUCCESS OF WHICH MADAME SHOWED NO ACKNOWLEDGEMENT HE THOUGHT OF NOTHING BUT BOLDLY REGAINING THE MARKED PREFERENCE OF THE PRINCESS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
237-126133-0024__31_008760.wav,31_008760.wav,237-126133-0024.flac,AND THE OLD GENTLEMAN WAS SO DELIGHTED WITH HIS SUCCESS THAT HE HAD TO BURST OUT INTO A SERIES OF SHORT HAPPY BITS OF LAUGHTER THAT OCCUPIED QUITE A SPACE OF TIME,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
4446-2273-0016__04_012299.wav,04_012299.wav,4446-2273-0016.flac,HER HAIR IS STILL LIKE FLAX AND HER BLUE EYES ARE JUST LIKE A BABY'S AND SHE HAS THE SAME THREE FRECKLES ON HER LITTLE NOSE AND TALKS ABOUT GOING BACK TO HER BAINS DE MER,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
7176-88083-0023__23_009799.wav,23_009799.wav,7176-88083-0023.flac,HE HAD A LOT OF LINE OUT AND THE PLACE WAS NONE TOO FREE FOR A LONG CAST BUT HE WAS IMPATIENT TO DROP HIS FLIES AGAIN ON THE SPOT WHERE THE BIG FISH WAS FEEDING,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
7176-92135-0031__04_020001.wav,04_020001.wav,7176-92135-0031.flac,AND THERE YOU ARE YOU WILL OF COURSE APPRECIATE THAT THE UNFINISHED SENTENCES NOT ONLY SAVE TIME BUT ALSO MAKE THE MANOEUVRING VERY MUCH MORE NATURAL,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
1089-134686-0005__25_009550.wav,25_009550.wav,1089-134686-0005.flac,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
1188-133604-0022__02_000056.wav,02_000056.wav,1188-133604-0022.flac,YOU MUST LOOK AT HIM IN THE FACE FIGHT HIM CONQUER HIM WITH WHAT SCATHE YOU MAY YOU NEED NOT THINK TO KEEP OUT OF THE WAY OF HIM,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
908-157963-0023__04_007646.wav,04_007646.wav,908-157963-0023.flac,THE HELPLESS WORM AROSE AND SAT UPON THE LILLYS LEAF AND THE BRIGHT CLOUD SAILD ON TO FIND HIS PARTNER IN THE VALE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
4970-29095-0004__00_013357.wav,00_013357.wav,4970-29095-0004.flac,I HEARD FATHER TELL COUSIN ABNER THAT HE WAS WHIPPED SO OFTEN FOR WHISTLING WHEN HE WAS A BOY THAT HE WAS DETERMINED TO HAVE WHAT COMPENSATION HE COULD GET NOW,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
8555-284447-0000__16_005256.wav,16_005256.wav,8555-284447-0000.flac,THEN HE RUSHED DOWN STAIRS INTO THE COURTYARD SHOUTING LOUDLY FOR HIS SOLDIERS AND THREATENING TO PATCH EVERYBODY IN HIS DOMINIONS IF THE SAILORMAN WAS NOT RECAPTURED,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
2300-131720-0009__25_009166.wav,25_009166.wav,2300-131720-0009.flac,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTORS ON ALTERNATING CURRENT CIRCUITS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
7729-102255-0028__34_018393.wav,34_018393.wav,7729-102255-0028.flac,PRIVATE PERSONS WHO HAD LEASED THE FREE STATE HOTEL VAINLY BESOUGHT THE VARIOUS AUTHORITIES TO PREVENT THE DESTRUCTION OF THEIR PROPERTY,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
8555-292519-0005__39_008651.wav,39_008651.wav,8555-292519-0005.flac,WHILE THE OLD GOLD AND THE MARBLE STAYS FOREVER GLEAMING ITS SOFT STRONG BLAZE CALM IN THE EARLY EVENING GLOW,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
2961-961-0014__35_016335.wav,35_016335.wav,2961-961-0014.flac,NINE THOUSAND YEARS HAVE ELAPSED SINCE SHE FOUNDED YOURS AND EIGHT THOUSAND SINCE SHE FOUNDED OURS AS OUR ANNALS RECORD,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
4077-13751-0000__00_006573.wav,00_006573.wav,4077-13751-0000.flac,ON THE SIXTH OF APRIL EIGHTEEN THIRTY THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS WAS FORMALLY ORGANIZED AND THUS TOOK ON A LEGAL EXISTENCE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
6930-81414-0004__00_008154.wav,00_008154.wav,6930-81414-0004.flac,THE STORY OF ITS EVIL INFLUENCE CAME BACK TO ME AND IN MY BEWILDERED CONDITION I WONDERED WHETHER THERE WAS NOT SOME TRUTH IN WHAT HAD BEEN SAID,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
8455-210777-0055__06_020089.wav,06_020089.wav,8455-210777-0055.flac,SIR I HAVE IT IN COMMAND TO INFORM YOUR EXCELLENCY THAT YOU HAVE BEEN APPOINTED GOVERNOR OF THE CROWN COLONY WHICH IS CALLED BRITANNULA,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
908-31957-0019__16_002181.wav,16_002181.wav,908-31957-0019.flac,THOU CANST WAIT THROUGH SORROW AND SICKNESS TO BRING SOULS TO TOUCH AND THINK IT SOON WHEN OTHERS CRY TOO LATE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
1320-122612-0001__03_007875.wav,03_007875.wav,1320-122612-0001.flac,THE DEWS WERE SUFFERED TO EXHALE AND THE SUN HAD DISPERSED THE MISTS AND WAS SHEDDING A STRONG AND CLEAR LIGHT IN THE FOREST WHEN THE TRAVELERS RESUMED THEIR JOURNEY,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
1284-1181-0016__34_019412.wav,34_019412.wav,1284-1181-0016.flac,I AM NOT ALLOWED TO PERFORM MAGIC EXCEPT FOR MY OWN AMUSEMENT HE TOLD HIS VISITORS AS HE LIGHTED A PIPE WITH A CROOKED STEM AND BEGAN TO SMOKE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
1995-1837-0025__11_003629.wav,11_003629.wav,1995-1837-0025.flac,SHE ROSE WITH A FLEETING GLANCE GATHERED THE SHAWL ROUND HER THEN GLIDING FORWARD WAVERING TREMULOUS SLIPPED ACROSS THE ROAD AND INTO THE SWAMP,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
121-123859-0004__02_003500.wav,02_003500.wav,121-123859-0004.flac,SO I RETURN REBUK'D TO MY CONTENT AND GAIN BY ILL THRICE MORE THAN I HAVE SPENT,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
3570-5696-0007__14_000274.wav,14_000274.wav,3570-5696-0007.flac,THE USE OF THE WORD WASTE AS A TECHNICAL TERM THEREFORE IMPLIES NO DEPRECATION OF THE MOTIVES OR OF THE ENDS SOUGHT BY THE CONSUMER UNDER THIS CANON OF CONSPICUOUS WASTE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
3570-5694-0008__38_004717.wav,38_004717.wav,3570-5694-0008.flac,THE CONSUMPTION OF LUXURIES IN THE TRUE SENSE IS A CONSUMPTION DIRECTED TO THE COMFORT OF THE CONSUMER HIMSELF AND IS THEREFORE A MARK OF THE MASTER,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
5639-40744-0016__25_019673.wav,25_019673.wav,5639-40744-0016.flac,ON THE CONTRARY HE RESOLVED TO TELL THEM THAT REPENTING OF HIS VIOLENCE AND MOVED BY HER TEARS HE HAD ONLY CARRIED HER HALF WAY TOWARDS HIS HOUSE AND THEN LET HER GO,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
1320-122617-0034__00_017736.wav,00_017736.wav,1320-122617-0034.flac,HOLD SAID DAVID PERCEIVING THAT WITH THIS ASSURANCE THEY WERE ABOUT TO LEAVE HIM I AM AN UNWORTHY AND HUMBLE FOLLOWER OF ONE WHO TAUGHT NOT THE DAMNABLE PRINCIPLE OF REVENGE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
7176-88083-0022__01_004739.wav,01_004739.wav,7176-88083-0022.flac,THE HAWK EMBITTERED BY THE LOSS OF HIS FIRST QUARRY HAD BECOME AS DOGGED IN PURSUIT AS A WEASEL NOT TO BE SHAKEN OFF OR EVADED OR DECEIVED,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
1995-1826-0000__04_019002.wav,04_019002.wav,1995-1826-0000.flac,IN THE DEBATE BETWEEN THE SENIOR SOCIETIES HER DEFENCE OF THE FIFTEENTH AMENDMENT HAD BEEN NOT ONLY A NOTABLE BIT OF REASONING BUT DELIVERED WITH REAL ENTHUSIASM,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
2830-3979-0011__01_006655.wav,01_006655.wav,2830-3979-0011.flac,THE LORD WHO HAS GIVEN US POWER TO TEACH AND TO HEAR LET HIM ALSO GIVE US THE POWER TO SERVE AND TO DO LUKE TWO,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
2830-3979-0008__11_007467.wav,11_007467.wav,2830-3979-0008.flac,IN OTHER WORDS THESE THREE MEN TOOK DOWN THE LECTURES WHICH LUTHER ADDRESSED TO HIS STUDENTS IN THE COURSE OF GALATIANS AND ROERER PREPARED THE MANUSCRIPT FOR THE PRINTER,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
3575-170457-0035__16_020551.wav,16_020551.wav,3575-170457-0035.flac,I WISH IT WOULD RECUR AGAIN BUT IT WILL TAKE TWO OR THREE INTERVIEWS BEFORE THE STIFFNESS THE ESTRANGEMENT OF THIS LONG SEPARATION WILL WEAR AWAY,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
5683-32879-0003__04_001266.wav,04_001266.wav,5683-32879-0003.flac,WOMEN CAN HIDE THEIR PAIN BETTER THAN WE MEN AND BEAR IT BETTER TOO EXCEPT WHEN SHAME DROPS FIRE INTO THE DREADFUL CHALICE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
8463-294828-0003__41_011452.wav,41_011452.wav,8463-294828-0003.flac,I WANTED NOTHING MORE THAN TO SEE MY COUNTRY AGAIN MY FRIENDS MY MODEST QUARTERS BY THE BOTANICAL GARDENS MY DEARLY BELOVED COLLECTIONS,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
237-126133-0015__16_020135.wav,16_020135.wav,237-126133-0015.flac,YES ALL ALONE BY HIMSELF ASSERTED JASPER VEHEMENTLY AND WINKING FURIOUSLY TO THE OTHERS TO STOP THEIR LAUGHING HE DID NOW TRULY PHRONSIE,1_engine_presence,Engine,7-1_person-or-small-group-talking_presence,Speech
8455-210777-0046__15_003998.wav,15_003998.wav,8455-210777-0046.flac,YOU MAY BE QUITE SURE IT'S THERE SAID CAPTAIN BATTLEAX AND THAT I CAN SO USE IT AS TO HALF OBLITERATE YOUR TOWN WITHIN TWO MINUTES OF MY RETURN ON BOARD,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
6829-68769-0001__27_007703.wav,27_007703.wav,6829-68769-0001.flac,IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LENGTHY TERM IN STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
8555-284449-0007__18_000455.wav,18_000455.wav,8555-284449-0007.flac,NOW THEN LET'S ENTER THE CITY AN ENJOY THE GRAND FEAST THAT'S BEING COOKED I'M NEARLY STARVED MYSELF FOR THIS CONQUERIN KINGDOMS IS HARD WORK,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
8230-279154-0026__37_012447.wav,37_012447.wav,8230-279154-0026.flac,THIS DISTINCTION IS VITAL TO THE UNDERSTANDING OF MEMORY BUT IT IS NOT SO EASY TO CARRY OUT IN PRACTICE AS IT IS TO DRAW IN THEORY,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
8463-294828-0017__15_000554.wav,15_000554.wav,8463-294828-0017.flac,PACK AS MUCH INTO MY TRUNK AS YOU CAN MY TRAVELING KIT MY SUITS SHIRTS AND SOCKS DON'T BOTHER COUNTING JUST SQUEEZE IT ALL IN AND HURRY,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
7127-75946-0029__25_018552.wav,25_018552.wav,7127-75946-0029.flac,THE KING WHO HAD FROM THIS MOMENT BECOME IN REALITY THE PRINCIPAL DANCER IN THE QUADRILLE CAST A LOOK UPON HIS VANQUISHED RIVAL,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
1580-141084-0048__05_020258.wav,05_020258.wav,1580-141084-0048.flac,IT WILL BE CLEAR TO YOU FROM WHAT I HAVE SAID THAT ONLY YOU COULD HAVE LET THIS YOUNG MAN OUT SINCE YOU WERE LEFT IN THE ROOM AND MUST HAVE LOCKED THE DOOR WHEN YOU WENT OUT,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
908-157963-0025__38_006802.wav,38_006802.wav,908-157963-0025.flac,I SEE THEY LAY HELPLESS AND NAKED WEEPING AND NONE TO ANSWER NONE TO CHERISH THEE WITH MOTHERS SMILES,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
4992-41806-0003__32_008665.wav,32_008665.wav,4992-41806-0003.flac,KATHLEEN WAVED THE TORCH TO AND FRO AS SHE RECITED SOME BEAUTIFUL LINES WRITTEN FOR SOME SUCH PURPOSE AS THAT WHICH CALLED THEM TOGETHER TO NIGHT,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
6930-76324-0011__23_020002.wav,23_020002.wav,6930-76324-0011.flac,THEY WORRY ME TERRIBLY AND BESIDES I'D LIKE TO SEE WHAT THIS LOVELY FURNITURE LOOKS LIKE WITHOUT SUCH QUANTITIES OF DUST ALL OVER IT GOOD SCHEME CYN,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
5683-32866-0004__02_000654.wav,02_000654.wav,5683-32866-0004.flac,BY THIS TIME LORD CHELFORD AND WYLDER RETURNED AND DISGUSTED RATHER WITH MYSELF I RUMINATED ON MY WANT OF GENERAL SHIP,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
7021-79740-0002__19_017414.wav,19_017414.wav,7021-79740-0002.flac,NOW DELIA CONTRIVED TO OBTAIN A GREAT INFLUENCE AND ASCENDENCY OVER THE MINDS OF THE CHILDREN BY MEANS OF THESE DOLLS,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
7729-102255-0042__31_008737.wav,31_008737.wav,7729-102255-0042.flac,RELOCATED FOOTNOTE GOVERNOR ROBINSON BEING ON HIS WAY EAST THE STEAMBOAT ON WHICH HE WAS TRAVELING STOPPED AT LEXINGTON MISSOURI,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
672-122797-0016__41_008277.wav,41_008277.wav,672-122797-0016.flac,YES THEN SOMETHING BETTER SOMETHING STILL GRANDER WILL SURELY FOLLOW OR WHEREFORE SHOULD THEY THUS ORNAMENT ME,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
4507-16021-0025__09_012112.wav,09_012112.wav,4507-16021-0025.flac,TO MEET THE NEEDS OF THIS CONFLICT WRETCHEDNESS HAS INVENTED A LANGUAGE OF COMBAT WHICH IS SLANG,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
5683-32879-0011__11_017920.wav,11_017920.wav,5683-32879-0011.flac,SHE SPOKE WITH A SUDDEN ENERGY WHICH PARTOOK OF FEAR AND PASSION AND FLUSHED HER THIN CHEEK AND MADE HER LANGUID EYES FLASH,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
260-123286-0025__35_019787.wav,35_019787.wav,260-123286-0025.flac,FLIGHT WAS OUT OF THE QUESTION NOW THE REPTILES ROSE THEY WHEELED AROUND OUR LITTLE RAFT WITH A RAPIDITY GREATER THAN THAT OF EXPRESS TRAINS,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
6930-76324-0016__37_003572.wav,37_003572.wav,6930-76324-0016.flac,THE LURE PROVED TOO MUCH FOR HIM AND HE CAME SPORTING AFTER IT AS FRISKILY AS A YOUNG KITTEN MUCH TO CYNTHIA'S DELIGHT WHEN SHE CAUGHT SIGHT OF HIM,2-2_jackhammer_presence,Jackhammer,7-1_person-or-small-group-talking_presence,Speech
